,Latitude,Longitude,Country Name,Sum
0,33.7680065,66.2385139,Afghanistan,4909411499.200001
1,41.000028,19.9999619,Albania,35755310449.600006
2,28.0000272,2.9999825,Algeria,1995146597907.9
3,-11.8775768,17.5691241,Angola,402268796235.80005
4,-34.9964963,-64.9672817,Argentina,8194341948826.799
5,40.7696272,44.6736646,Armenia,48610559488.700005
6,40.3936294,47.7872508,Azerbaijan,79537669040.5
7,23.5031022,90.00386523825051,Bangladesh,464473767477.60004
8,53.4250605,27.6971358,Belarus,172094758758.3
9,16.8259793,-88.7600927,Belize,49414683987.8
10,9.5293472,2.2584408,Benin,147698583896.7
11,27.549511,90.5119273,Bhutan,14013632018.500004
12,-17.0568696,-64.9912286,Bolivia,572820344648.3
13,44.3053476,17.5961467,Bosnia and Herzegovina,49641230514.09999
14,-23.1681782,24.5928742,Botswana,90040960784.00002
15,-10.3333333,-53.2,Brazil,27373838841124.3
16,42.6073975,25.4856617,Bulgaria,197063218651.4
17,12.0753083,-1.6880314,Burkina Faso,110273967183.79999
18,-3.3634357,29.8870575,Burundi,35613138556.99999
19,16.0000552,-24.0083947,Cabo Verde,9751929701.9
20,13.5066394,104.869423,Cambodia,69418652179.19998
21,4.6125522,13.1535811,Cameroon,581955741887.7001
22,7.0323598,19.9981227,Central African Republic,15497611883.200003
23,15.6134137,19.0156172,Chad,89747376033.20001
24,35.000074,104.999927,China,3458060075646.0
25,4.099917,-72.9088133,Colombia,6167302432970.005
26,-12.2045176,44.2832964,Comoros,5615178593.800001
29,10.2735633,-84.0739102,Costa Rica,854239379325.6
30,7.9897371,-5.5679458,Cote d'Ivoire,921843236416.1
31,11.8145966,42.8453061,Djibouti,57845939913.60001
32,19.0974031,-70.3028026,Dominica,2693179926.5
33,19.0974031,-70.3028026,Dominican Republic,1136371436690.1
35,-1.3397668,-79.3666965,Ecuador,2456367960635.901
37,13.8000382,-88.9140683,El Salvador,632765299581.2997
38,15.9500319,37.9999668,Eritrea,4066924891.800001
39,-26.5624806,31.3991317,Eswatini,42944854722.7
40,10.2116702,38.6521203,Ethiopia,847816972624.6002
42,-18.1239696,179.0122737,Fiji,52206451177.400024
43,-0.8999695,11.6899699,Gabon,459225919103.89996
44,9.0166419,38.7524577,"Gambia, The",21864749741.4
45,32.3293809,-83.1137366,Georgia,70951108828.1
46,8.0300284,-1.0800271,Ghana,806005092852.8999
47,12.1360374,-61.6904045,Grenada,14551270109.400002
48,15.6356088,-89.8988087,Guatemala,786657116461.4004
49,10.7226226,-10.7083587,Guinea,178086683203.3
50,12.100035,-14.9000214,Guinea-Bissau,6209617376.399999
51,4.8417097,-58.6416891,Guyana,73350701198.8
52,19.1399952,-72.3570972,Haiti,54686469021.90001
53,15.2572432,-86.0755145,Honduras,420588473152.10004
54,51.0661369,3.7087344,IDA only,13837940263218.393
55,22.3511148,78.6677428,India,16981572728283.193
56,-2.4833826,117.8902853,Indonesia,16317777049226.502
57,18.1850507,-77.3947693,Jamaica,787934334891.0001
58,31.1667049,36.941628,Jordan,930090928255.8998
59,47.2286086,65.2093197,Kazakhstan,688051238805.4
60,1.4419683,38.4313975,Kenya,1234682647410.2004
61,42.5869578,20.9021231,Kosovo,6621807907.2
62,41.5089324,74.724091,Kyrgyz Republic,35244193151.200005
63,17.9751896,102.6223322,Lao PDR,297725048654.4
66,33.8750629,35.843409,Lebanon,1755231268914.5
67,-29.6039267,28.3350193,Lesotho,47713653812.89997
68,5.7499721,-9.3658524,Liberia,12142261279.7
70,-33.795231,151.1825579,Low income,4404900282682.002
72,-18.9249604,46.4416422,Madagascar,148613001957.30002
